Date,Open,High,Low,Close,Adj Close,Volume
9/14/2016,33.389999,33.799999,33.220001,33.32,24.304712,6672900
9/15/2016,33.27,33.84,33.200001,33.610001,24.516245,4693800
9/16/2016,33.080002,33.419998,33.060001,33.310001,24.297419,5594600
9/19/2016,33.91,33.919998,33.419998,33.439999,24.392242,4741200
9/20/2016,33.41,33.459999,33.060001,33.07,24.122353,4759900
9/21/2016,33.32,33.689999,33.209999,33.610001,24.516245,6634800
9/22/2016,34.57,34.630001,34.189999,34.259998,24.990376,8461900
9/23/2016,34.040001,34.369999,33.82,33.959999,24.771547,5138000
9/26/2016,33.709999,33.98,33.619999,33.68,24.56731,4579500
9/27/2016,33.48,33.82,33.32,33.610001,24.516245,4171900
9/28/2016,34.119999,34.889999,33.700001,34.84,25.41345,9765900
9/29/2016,35.23,35.299999,34.849998,35.060001,25.573921,9021700
9/30/2016,35.240002,35.389999,35.029999,35.16,25.64687,6133700
10/3/2016,35.34,35.549999,35.209999,35.470001,25.872995,4873800
10/4/2016,36.02,36.169998,35.57,35.68,26.026173,8148100
10/5/2016,36.02,36.220001,35.75,36.029999,26.281471,5394500
10/6/2016,36.150002,36.209999,35.830002,35.950001,26.223116,4422100
10/7/2016,36.060001,36.389999,35.919998,36.169998,26.383596,4678800
10/10/2016,36.43,36.830002,36.419998,36.669998,26.748312,4331900
10/11/2016,36.439999,36.490002,35.619999,35.779999,26.099117,7250600
10/12/2016,35.990002,35.990002,35.599998,35.790001,26.106409,4944500
10/13/2016,35.790001,35.889999,35.290001,35.68,26.026173,4434700
10/14/2016,36.009998,36.130001,35.779999,35.84,26.142881,3255600
10/17/2016,35.560001,35.68,35.389999,35.5,25.894876,3488100
10/18/2016,36.16,36.169998,35.880001,35.98,26.244999,3642400
10/19/2016,36.119999,36.389999,36.029999,36.049999,26.296059,3886400
10/20/2016,35.939999,36.209999,35.790001,36.049999,26.296059,4003100
10/21/2016,36.060001,36.27,35.91,36.25,26.441946,4214900
10/24/2016,36.18,36.25,35.580002,35.869999,26.164764,4502700
10/25/2016,36.040001,36.25,35.919998,36.040001,26.288773,4475800
10/26/2016,35.57,35.93,35.470001,35.849998,26.150169,4280000
10/27/2016,35.939999,36.25,35.849998,36,26.259586,4174300
10/28/2016,35.619999,36,35.540001,35.68,26.026173,5057000
10/31/2016,35.419998,35.669998,35.310001,35.549999,25.931343,5420500
11/1/2016,35.02,35.029999,33.830002,34.110001,24.880964,11938800
11/2/2016,34.330002,34.5,33.759998,34.009998,24.80802,7778000
11/3/2016,34.02,34.130001,33.700001,33.84,24.684017,4876200
11/4/2016,33.580002,33.84,33.490002,33.540001,24.465185,6030000
11/7/2016,33.830002,34.049999,33.700001,34.02,24.815313,5863800
11/8/2016,33.380001,33.68,33.32,33.48,24.859863,4865100
11/9/2016,33.189999,34.029999,33.189999,33.84,25.127176,5588000
11/10/2016,34.279999,34.310001,33.84,33.939999,25.201431,5210400
11/11/2016,33.509998,33.580002,32.93,33.18,24.637104,6598100
11/14/2016,32.75,33,32.529999,32.98,24.488602,5449600
11/15/2016,33.220001,33.68,33.220001,33.610001,24.956392,5679300
11/16/2016,33.259998,33.52,33.150002,33.299999,24.726206,4985700
11/17/2016,33.580002,33.869999,33.450001,33.5,24.874716,5382400
11/18/2016,33.349998,33.799999,33.27,33.639999,24.978668,6682800
11/21/2016,34.310001,34.450001,34.240002,34.400002,25.542994,5881700
11/22/2016,34.48,34.650002,34.259998,34.540001,25.646948,6735900
11/23/2016,34.130001,34.59,34.119999,34.400002,25.542994,4255400
11/25/2016,34.400002,34.459999,34.18,34.27,25.446461,1899900
11/28/2016,34.09,34.130001,33.720001,33.720001,25.038074,5431000
11/29/2016,33.369999,33.630001,33.240002,33.52,24.889568,5901600
11/30/2016,34.540001,35.27,34.540001,35.009998,25.995932,11784800
12/1/2016,35.689999,35.950001,35.369999,35.389999,26.278095,7802400
12/2/2016,35.450001,35.810001,35.290001,35.48,26.344917,5205900
12/5/2016,35.560001,35.779999,35.48,35.48,26.344917,4710200
12/6/2016,35.68,35.700001,35.34,35.57,26.411755,5387000
12/7/2016,35.91,35.98,35.669998,35.889999,26.649357,6006700
12/8/2016,36.049999,36.23,35.860001,36.189999,26.87212,5107500
12/9/2016,36.150002,36.209999,36,36.009998,26.738459,4633100
12/12/2016,36.610001,36.810001,36.43,36.509998,27.109728,8416600
12/13/2016,36.900002,36.939999,36.400002,36.790001,27.31764,7504700
12/14/2016,36.740002,36.880001,36.009998,36.02,26.74589,5699800
12/15/2016,35.439999,35.939999,35.310001,35.849998,26.619654,5093100
12/16/2016,36.209999,36.73,36.139999,36.59,27.169128,5517100
12/19/2016,36.630001,36.779999,36.549999,36.560001,27.146854,4582000
12/20/2016,36.650002,36.799999,36.48,36.52,27.117153,4354700
12/21/2016,36.860001,36.919998,36.669998,36.779999,27.310215,4440500
12/22/2016,36.98,37.169998,36.880001,36.91,27.406734,7860500
12/23/2016,36.84,37.049999,36.779999,37.02,27.48842,3652900
12/27/2016,37.099998,37.23,37.09,37.110001,27.555244,3725600
12/28/2016,37.32,37.470001,37.18,37.25,27.659191,6133400
12/29/2016,37.490002,37.529999,37.34,37.400002,27.770575,5015300
12/30/2016,37.470001,37.669998,37.330002,37.380001,27.755726,5043900
1/3/2017,38.099998,38.119999,37.790001,38,28.216095,8779200
1/4/2017,38.049999,38.34,37.939999,38.290001,28.431429,6883300
1/5/2017,38.139999,38.68,38.139999,38.57,28.639332,6505700
1/6/2017,38.16,38.189999,37.849998,37.91,28.149261,5800900
1/9/2017,37.580002,37.650002,37.310001,37.310001,27.703753,5533600
1/10/2017,37.25,37.450001,37.110001,37.110001,27.555244,3922000
1/11/2017,37.200001,37.66,37.060001,37.549999,27.881954,4422600
1/12/2017,37.990002,38,37.66,37.759998,28.037891,4698500
1/13/2017,37.82,37.860001,37.560001,37.66,27.963633,3814700
1/17/2017,37.580002,37.630001,37.240002,37.439999,27.800278,6172800
1/18/2017,37.18,37.389999,37.009998,37.099998,27.547819,5894200
1/19/2017,37.009998,37.130001,36.75,36.900002,27.399313,5074200
1/20/2017,37.110001,37.119999,36.759998,36.84,27.354763,5696300
1/23/2017,36.599998,36.75,36.32,36.619999,27.191406,5470400
1/24/2017,36.540001,36.990002,36.540001,36.91,27.406734,6519300
1/25/2017,37.099998,37.130001,36.889999,37.029999,27.495846,3977400
1/26/2017,36.959999,37.049999,36.59,36.740002,27.28051,4450100
1/27/2017,36.529999,36.650002,36.450001,36.580002,27.161707,4242000
1/30/2017,36.09,36.130001,35.73,35.959999,26.701338,7529400
1/31/2017,36.060001,36.150002,35.73,35.98,26.716181,5467400
