Date,Open,High,Low,Close,Adj Close,Volume
9/14/2016,4.21,4.25,4.2,4.21,3.259353,137900
9/15/2016,4.19,4.2,4.15,4.19,3.243869,114200
9/16/2016,4.16,4.17,4.13,4.16,3.220643,450000
9/19/2016,4.18,4.19,4.14,4.16,3.220643,165600
9/20/2016,4.13,4.18,4.11,4.16,3.220643,317500
9/21/2016,4.16,4.22,4.15,4.22,3.267095,491200
9/22/2016,4.23,4.26,4.18,4.22,3.267095,746600
9/23/2016,4.23,4.24,4.17,4.18,3.236127,605000
9/26/2016,4.19,4.22,4.16,4.2,3.251611,594100
9/27/2016,4.17,4.17,4.11,4.12,3.189676,934100
9/28/2016,4.15,4.24,4.15,4.24,3.282578,307000
9/29/2016,4.24,4.26,4.18,4.2,3.251611,261300
9/30/2016,4.25,4.27,4.21,4.23,3.274837,920000
10/3/2016,4.3,4.31,4.26,4.27,3.305804,271600
10/4/2016,4.32,4.33,4.25,4.25,3.290321,526100
10/5/2016,4.25,4.29,4.24,4.29,3.321288,555400
10/6/2016,4.32,4.35,4.29,4.34,3.359998,422900
10/7/2016,4.34,4.35,4.3,4.34,3.359998,377900
10/10/2016,4.39,4.47,4.38,4.47,3.460643,373200
10/11/2016,4.42,4.42,4.37,4.37,3.383224,338100
10/12/2016,4.36,4.37,4.3,4.31,3.336772,232100
10/13/2016,4.28,4.33,4.25,4.3,3.329031,159200
10/14/2016,4.28,4.3,4.26,4.27,3.305804,112100
10/17/2016,4.26,4.27,4.24,4.25,3.290321,113700
10/18/2016,4.26,4.29,4.25,4.25,3.290321,178300
10/19/2016,4.28,4.32,4.27,4.3,3.329031,190600
10/20/2016,4.26,4.29,4.25,4.25,3.290321,269700
10/21/2016,4.26,4.29,4.25,4.28,3.313547,187400
10/24/2016,4.29,4.3,4.27,4.29,3.321288,164600
10/25/2016,4.32,4.32,4.28,4.3,3.329031,235700
10/26/2016,4.27,4.3,4.22,4.24,3.282578,222900
10/27/2016,4.24,4.26,4.23,4.24,3.282578,146600
10/28/2016,4.24,4.25,4.21,4.23,3.274837,202100
10/31/2016,4.31,4.35,4.29,4.33,3.352256,404200
11/1/2016,4.4,4.46,4.39,4.43,3.429675,298600
11/2/2016,4.45,4.48,4.35,4.37,3.383224,214500
11/3/2016,4.35,4.36,4.31,4.34,3.359998,299300
11/4/2016,4.25,4.3,4.24,4.28,3.313547,336700
11/7/2016,4.31,4.34,4.3,4.33,3.352256,127000
11/8/2016,4.33,4.36,4.31,4.34,3.359998,202500
11/9/2016,4.52,4.58,4.5,4.58,3.545804,915600
11/10/2016,4.66,4.67,4.51,4.52,3.499353,590900
11/11/2016,4.54,4.56,4.47,4.51,3.491611,748600
11/14/2016,4.43,4.48,4.4,4.47,3.460643,211900
11/15/2016,4.48,4.59,4.48,4.57,3.538063,987300
11/16/2016,4.51,4.52,4.47,4.51,3.491611,669800
11/17/2016,4.54,4.6,4.54,4.54,3.514837,275600
11/18/2016,4.55,4.57,4.52,4.56,3.53032,162800
11/21/2016,4.68,4.71,4.67,4.7,3.638707,322100
11/22/2016,4.71,4.72,4.65,4.7,3.638707,521000
11/23/2016,4.61,4.66,4.6,4.66,3.60774,185900
11/25/2016,4.66,4.7,4.66,4.7,3.638707,98400
11/28/2016,4.62,4.62,4.58,4.6,3.561288,147500
11/29/2016,4.52,4.55,4.49,4.53,3.507095,238900
11/30/2016,4.63,4.68,4.6,4.64,3.592256,594300
12/1/2016,4.82,4.84,4.77,4.8,3.716127,751100
12/2/2016,4.8,4.82,4.77,4.78,3.700643,326800
12/5/2016,4.83,4.9,4.83,4.86,3.762579,447800
12/6/2016,4.79,4.81,4.75,4.8,3.716127,353500
12/7/2016,4.8,4.83,4.77,4.82,3.731611,368300
12/8/2016,4.83,4.91,4.81,4.85,3.754837,439200
12/9/2016,4.85,4.92,4.85,4.91,3.801288,837200
12/12/2016,5.24,5.28,5.19,5.21,4.033546,1048400
12/13/2016,5.25,5.32,5.24,5.28,4.08774,615300
12/14/2016,5.18,5.23,5.05,5.07,3.925159,684200
12/15/2016,5.12,5.16,5.11,5.13,3.97161,1037500
12/16/2016,5.15,5.17,5.03,5.08,3.932901,743400
12/19/2016,5.09,5.1,5.01,5.02,3.886449,2162000
12/20/2016,5.07,5.09,5.05,5.09,3.940643,448900
12/21/2016,5.11,5.12,5.01,5.02,3.886449,487100
12/22/2016,4.98,4.98,4.91,4.93,3.816772,1113400
12/23/2016,4.89,4.91,4.88,4.91,3.801288,340300
12/27/2016,4.92,5,4.91,4.99,3.863223,442300
12/28/2016,5.04,5.06,4.98,4.98,3.855481,440600
12/29/2016,5.03,5.09,5,5.01,3.878708,611300
12/30/2016,5.02,5.1,5.02,5.09,3.940643,453600
1/3/2017,5.19,5.24,5.1,5.13,3.97161,387000
1/4/2017,5.16,5.24,5.15,5.23,4.04903,325100
1/5/2017,5.14,5.18,5.13,5.18,4.01032,235600
1/6/2017,5.16,5.18,5.14,5.18,4.01032,145200
1/9/2017,5.16,5.17,5.13,5.14,3.979352,289000
1/10/2017,5.23,5.27,5.19,5.2,4.025804,285600
1/11/2017,5.17,5.28,5.16,5.27,4.079998,266100
1/12/2017,5.28,5.3,5.22,5.23,4.04903,1402700
1/13/2017,5.24,5.33,5.23,5.31,4.110965,1126800
1/17/2017,5.19,5.24,5.17,5.22,4.041288,1081200
1/18/2017,5.13,5.18,5.12,5.15,3.987094,704800
1/19/2017,5,5.02,4.97,5.01,3.878708,602000
1/20/2017,4.96,5,4.95,5,3.870966,365000
1/23/2017,4.92,4.97,4.92,4.96,3.839998,495900
1/24/2017,5.01,5.04,5,5,3.870966,567600
1/25/2017,4.93,4.98,4.92,4.95,3.832256,1177600
1/26/2017,4.94,4.95,4.91,4.95,3.832256,220300
1/27/2017,5.12,5.14,5.07,5.08,3.932901,436400
1/30/2017,5,5.01,4.97,5,3.870966,333900
1/31/2017,4.99,4.99,4.92,4.93,3.816772,888000
2/1/2017,4.92,4.97,4.89,4.96,3.839998,1688300
2/2/2017,4.95,5.07,4.91,4.99,3.863223,459900
