Date,Open,High,Low,Close,Adj Close,Volume
9/14/2016,64.379997,64.910004,63.610001,63.869999,50.144039,181700
9/15/2016,64.190002,64.800003,63.93,64.5,50.638649,71700
9/16/2016,63.740002,64.709999,63.669998,64.480003,50.622952,164300
9/19/2016,64.43,64.620003,63.970001,64.220001,50.418819,209200
9/20/2016,64.290001,64.639999,63.93,64.059998,50.293205,82700
9/21/2016,64.720001,65.75,64.519997,65.68,51.565063,175000
9/22/2016,65.900002,66.129997,65.220001,65.440002,51.37664,82400
9/23/2016,64.889999,65.449997,64.349998,64.449997,50.599392,77000
9/26/2016,63.849998,64.440002,63.849998,63.889999,50.159737,83200
9/27/2016,64.120003,64.129997,63.540001,63.959999,50.214695,85800
9/28/2016,64.160004,66.040001,63.619999,66.019997,51.831989,111700
9/29/2016,65.900002,66.790001,65.510002,65.800003,51.659275,165400
9/30/2016,66.059998,67.239998,66.059998,66.800003,52.444363,106900
10/3/2016,65.93,66.639999,65.540001,66.459999,52.177437,105100
10/4/2016,66.830002,67.349998,66.269997,66.5,52.208832,63700
10/5/2016,68.779999,69.970001,68.360001,69.75,54.760391,276200
10/6/2016,71.459999,72.790001,71.410004,72.32,56.778095,338000
10/7/2016,71.68,71.839996,70.480003,70.980003,55.726067,95600
10/10/2016,71.629997,73.279999,71.400002,72.860001,57.202045,223700
10/11/2016,71.860001,71.879997,70.540001,70.949997,55.702511,94000
10/12/2016,70.279999,70.379997,69.620003,70.279999,55.176495,122400
10/13/2016,68.849998,69.519997,68.019997,69.349998,54.446358,124100
10/14/2016,69.830002,69.949997,69.160004,69.510002,54.571972,93900
10/17/2016,69.050003,69.160004,68.519997,68.739998,53.967453,85300
10/18/2016,69.900002,69.900002,69.459999,69.610001,54.65049,44000
10/19/2016,69.949997,70.839996,69.650002,70.129997,55.058727,140000
10/20/2016,71.25,71.760002,70.769997,71.489998,56.126465,130800
10/21/2016,70.989998,71.519997,70.970001,71.139999,55.851673,133000
10/24/2016,72.839996,73.410004,72.25,73.220001,57.484673,240300
10/25/2016,72.529999,72.949997,71.739998,71.800003,56.369843,101500
10/26/2016,70.879997,71.480003,70.639999,71.059998,55.788876,48400
10/27/2016,70.400002,70.510002,69.989998,70.150002,55.074444,110600
10/28/2016,69.5,69.580002,67.940002,67.989998,53.378632,123100
10/31/2016,68.080002,68.32,67.580002,67.730003,53.174511,157900
11/1/2016,69.339996,69.739998,68.269997,68.800003,54.014565,145200
11/2/2016,67.839996,68.379997,66.760002,67.18,52.742702,141100
11/3/2016,67.730003,68.169998,67.099998,67.290001,52.829071,71100
11/4/2016,67.309998,67.790001,67.040001,67.150002,52.719154,114000
11/7/2016,69.300003,69.910004,69.160004,69.870003,54.85461,140800
11/8/2016,68.860001,70.5,68.800003,69.800003,54.799664,129900
11/9/2016,68.019997,69.07,67.690002,68.25,53.582752,276100
11/10/2016,67.339996,67.529999,66.379997,66.760002,52.412964,140700
11/11/2016,65.730003,66.150002,65.110001,65.760002,51.627869,114200
11/14/2016,65.510002,66,65.029999,65.669998,51.557205,109600
11/15/2016,66.449997,67.400002,66.419998,67.290001,52.829071,156300
11/16/2016,66.410004,67.089996,66.239998,66.470001,52.185287,102000
11/17/2016,66.690002,67.169998,66.260002,66.400002,52.130325,106900
11/18/2016,66.699997,67.089996,66.330002,66.739998,52.397263,130900
11/21/2016,67.309998,68.089996,67.25,68.029999,53.410034,143100
11/22/2016,69.300003,69.779999,69.019997,69.300003,54.407112,139300
11/23/2016,68.440002,69.07,68.440002,68.660004,53.904644,143300
11/25/2016,68.800003,68.900002,68.300003,68.519997,53.794724,50100
11/28/2016,69.07,69.290001,68.260002,68.290001,53.61417,107700
11/29/2016,67.620003,68.339996,67.620003,67.809998,53.237309,88500
11/30/2016,69.360001,71.18,69.360001,70.540001,55.380619,197400
12/1/2016,71.300003,72.139999,70.550003,71.050003,55.781013,141900
12/2/2016,71.220001,71.419998,70.57,70.82,55.600452,117300
